Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Redlands,1462,2020,NULL,21798609,21798609,NULL,310949,310949,NULL,8949295,8949295,NULL,NULL,52111,52111,NULL,348464,348464,NULL,175977,175977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16532128,16532128,NULL,NULL,1426596,1426596,NULL,1416856,1416856,79868,2369348,2449216,NULL,3951739,3951739,NULL,477435,477435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,614159,614159,1558575,56944959,58503534
Redondo Beach,1463,2020,NULL,28282615,28282615,NULL,NULL,NULL,NULL,7897811,7897811,NULL,NULL,NULL,NULL,NULL,464521,464521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,419999,419999,NULL,NULL,NULL,NULL,9716883,9716883,NULL,NULL,1070692,1070692,NULL,6335445,6335445,NULL,1706355,1706355,NULL,1251673,1251673,NULL,2569239,2569239,NULL,6824873,6824873,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22400,22400,1070692,65491814,66562506
Redwood City,1464,2020,NULL,41611334,41611334,NULL,1281923,1281923,NULL,9394722,9394722,NULL,NULL,NULL,NULL,NULL,-30291,-30291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9364669,9364669,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25144135,25144135,NULL,NULL,2261882,2261882,NULL,6370227,6370227,NULL,1845464,1845464,NULL,3061509,3061509,NULL,1038267,1038267,NULL,9258184,9258184,784326,NULL,784326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3313,17140002,17143315,3049521,125480145,128529666
Reedley,1465,2020,NULL,1265408,1265408,NULL,23507,23507,NULL,2144983,2144983,NULL,NULL,NULL,NULL,NULL,5471,5471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,283750,283750,NULL,NULL,NULL,NULL,1864797,1864797,NULL,NULL,1119541,1119541,NULL,51780,51780,NULL,417494,417494,NULL,108040,108040,NULL,31086,31086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1316636,NULL,1316636,2436177,6196316,8632493
Rialto,1466,2020,NULL,7066353,7066353,NULL,NULL,NULL,NULL,14478083,14478083,NULL,NULL,NULL,NULL,NULL,377473,377473,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6185303,6185303,NULL,NULL,NULL,NULL,22172254,22172254,NULL,NULL,2697832,2697832,NULL,292991,292991,NULL,3871003,3871003,NULL,3788642,3788642,NULL,569011,569011,NULL,13664175,13664175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2697832,72465288,75163120
Richmond,1467,2020,NULL,36435019,36435019,NULL,NULL,NULL,NULL,9242418,9242418,22384221,22384221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1216942,1216942,NULL,5280379,5280379,NULL,NULL,NULL,NULL,939719,939719,NULL,NULL,NULL,NULL,15406337,15406337,NULL,NULL,1735189,1735189,NULL,1371962,1371962,NULL,303377,303377,NULL,3588923,3588923,NULL,8707564,8707564,NULL,45552523,45552523,3770386,NULL,3770386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23829779,23829779,27889796,151874942,179764738
Ridgecrest,1468,2020,NULL,389669,389669,NULL,7936,7936,NULL,1790085,1790085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,380661,380661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,160,160,NULL,3579549,3579549,NULL,NULL,NULL,NULL,NULL,1411102,1411102,NULL,674181,674181,NULL,174880,174880,NULL,90230,90230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4478527,NULL,4478527,4478527,8498453,12976980
Rio Dell,1469,2020,NULL,127694,127694,NULL,1792,1792,NULL,407072,407072,NULL,NULL,NULL,NULL,NULL,363,363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,573424,573424,NULL,NULL,154657,154657,NULL,11797,11797,NULL,87139,87139,NULL,10974,10974,NULL,6639,6639,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31405,193125,224530,186062,1420019,1606081
Rio Vista,1470,2020,NULL,1833650,1833650,NULL,39496,39496,NULL,815871,815871,29,29,NULL,NULL,NULL,-4981,-4981,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100000,100000,NULL,178472,178472,NULL,2309180,2309180,NULL,NULL,NULL,NULL,NULL,21315,21315,NULL,179967,179967,NULL,58761,58761,NULL,91386,91386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74029,74029,29,5697146,5697175
Ripon,1471,2020,NULL,1860612,1860612,NULL,NULL,NULL,NULL,1618905,1618905,NULL,NULL,NULL,NULL,NULL,2332,2332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298789,298789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10939,10939,NULL,3577167,3577167,NULL,NULL,300000,300000,NULL,497499,497499,NULL,503517,503517,NULL,197318,197318,NULL,84155,84155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300000,8651233,8951233
Riverbank,1472,2020,NULL,1338116,1338116,NULL,21159,21159,NULL,2056917,2056917,NULL,NULL,NULL,NULL,NULL,8751,8751,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3304671,3304671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,620070,620070,NULL,66039,66039,NULL,62088,62088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63031,NULL,63031,63031,7477811,7540842
Riverside,1473,2020,NULL,23631828,23631828,NULL,2099131,2099131,NULL,31014278,31014278,1795137,1795137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9841279,9841279,NULL,NULL,NULL,NULL,126820725,126820725,NULL,NULL,7800505,7800505,NULL,5958727,5958727,NULL,5442512,5442512,NULL,7350689,7350689,NULL,4215286,4215286,NULL,29047417,29047417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1142523,NULL,1142523,10738165,245421872,256160037
Rocklin,1474,2020,NULL,12320504,12320504,NULL,337347,337347,NULL,5602540,5602540,NULL,NULL,NULL,NULL,NULL,1796,1796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,880997,880997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16363,16363,NULL,15826208,15826208,612486,612486,4450609,4450609,NULL,745025,745025,NULL,2267704,2267704,NULL,425682,425682,NULL,474753,474753,NULL,NULL,NULL,1921458,NULL,1921458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6984553,38898919,45883472
Rohnert Park,1475,2020,NULL,4096744,4096744,NULL,123849,123849,NULL,4131432,4131432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1637705,1637705,NULL,NULL,NULL,NULL,286262,286262,NULL,NULL,NULL,NULL,12920781,12920781,NULL,NULL,812410,812410,NULL,3600766,3600766,NULL,3705049,3705049,NULL,543546,543546,NULL,244749,244749,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,812410,31290883,32103293
Rolling Hills,1476,2020,NULL,1197337,1197337,NULL,NULL,NULL,NULL,224535,224535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3310,3310,68855,68855,49674,49674,NULL,NULL,NULL,NULL,14498,14498,NULL,NULL,NULL,NULL,48546,48546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118529,1488226,1606755
Rolling Hills Estates,1477,2020,NULL,2454040,2454040,NULL,NULL,NULL,NULL,928535,928535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1132919,1132919,NULL,NULL,498984,498984,NULL,NULL,NULL,NULL,629996,629996,NULL,407143,407143,NULL,161310,161310,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,498984,5713943,6212927
Rosemead,1478,2020,NULL,3045637,3045637,NULL,NULL,NULL,NULL,6877753,6877753,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5430222,5430222,NULL,NULL,1408655,1408655,NULL,1785219,1785219,NULL,1272267,1272267,NULL,193062,193062,NULL,74060,74060,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1951958,1951958,1408655,20630178,22038833
Roseville,1479,2020,NULL,39140681,39140681,NULL,1014193,1014193,NULL,10695620,10695620,NULL,NULL,NULL,NULL,NULL,5047,5047,NULL,NULL,NULL,NULL,667431,667431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,561124,561124,NULL,NULL,NULL,NULL,52699584,52699584,NULL,NULL,NULL,NULL,NULL,3528221,3528221,NULL,2342491,2342491,NULL,854916,854916,NULL,1164748,1164748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19669535,4407,19673942,19669535,112678463,132347998
Ross,1480,2020,NULL,4000161,4000161,NULL,89191,89191,NULL,296161,296161,NULL,NULL,NULL,NULL,NULL,5581,5581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,866932,NULL,866932,NULL,443182,443182,NULL,NULL,NULL,NULL,64412,64412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207366,207366,NULL,39634,39634,NULL,99216,99216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,866932,5244904,6111836
Sacramento,1481,2020,NULL,136454000,136454000,NULL,2855000,2855000,NULL,48458000,48458000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88730000,88730000,NULL,NULL,15902000,15902000,NULL,4261000,4261000,NULL,6525000,6525000,NULL,24001000,24001000,NULL,14245000,14245000,NULL,60039000,60039000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103899000,103899000,15902000,489467000,505369000
Salinas,1482,2020,NULL,15977806,15977806,NULL,293435,293435,NULL,13715865,13715865,NULL,NULL,NULL,NULL,NULL,161770,161770,NULL,NULL,NULL,NULL,184681,184681,NULL,580110,580110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55899,55899,NULL,30268860,30268860,NULL,NULL,4307505,4307505,NULL,2824027,2824027,NULL,9305059,9305059,NULL,6703250,6703250,NULL,351184,351184,NULL,11654328,11654328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39402039,39402039,4307505,131478313,135785818
San Anselmo,1483,2020,NULL,7451013,7451013,NULL,216960,216960,NULL,1462822,1462822,2883662,2883662,388167,388167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2175351,2175351,NULL,NULL,135871,135871,NULL,NULL,NULL,NULL,815250,815250,NULL,195691,195691,NULL,135542,135542,NULL,NULL,NULL,366594,NULL,366594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,290166,1645297,1935463,4064460,14097926,18162386
San Bernardino,1484,2020,NULL,45194,45194,NULL,8067,8067,NULL,17406121,17406121,NULL,NULL,NULL,NULL,NULL,3055,3055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14810,14810,NULL,11028,11028,NULL,46897953,46897953,NULL,NULL,4054661,4054661,NULL,4525751,4525751,NULL,13060189,13060189,NULL,7440326,7440326,NULL,1152235,1152235,NULL,22680847,22680847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,260090,260090,4054661,113505666,117560327
San Bruno,1485,2020,NULL,8080257,8080257,NULL,263521,263521,NULL,4977507,4977507,NULL,NULL,NULL,NULL,NULL,-5620,-5620,NULL,NULL,NULL,NULL,481345,481345,NULL,1783779,1783779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25500,25500,NULL,7658178,7658178,NULL,NULL,1493924,1493924,NULL,2617524,2617524,NULL,1861256,1861256,NULL,1917564,1917564,NULL,270390,270390,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3300699,3300699,1493924,33231900,34725824
San Buenaventura,1486,2020,NULL,28167061,28167061,NULL,478969,478969,NULL,11059073,11059073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46969,46969,NULL,39307100,39307100,NULL,NULL,264165,264165,NULL,5361114,5361114,NULL,4927968,4927968,NULL,2278532,2278532,NULL,540230,540230,NULL,7697551,7697551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1427491,0,1427491,1691656,99864567,101556223
San Carlos,1487,2020,NULL,13016722,13016722,NULL,337380,337380,NULL,3579347,3579347,417811,417811,12204,12204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,305373,305373,NULL,NULL,NULL,NULL,11195120,11195120,NULL,NULL,1422484,1422484,NULL,2461423,2461423,NULL,4180156,4180156,NULL,999098,999098,NULL,632597,632597,NULL,NULL,NULL,389438,NULL,389438,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2095828,2095828,2241937,38803044,41044981
San Clemente,1488,2020,NULL,27248449,27248449,NULL,526556,526556,NULL,7256938,7256938,NULL,NULL,NULL,NULL,NULL,158489,158489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59540,59540,NULL,9576003,9576003,NULL,NULL,1031793,1031793,NULL,2162559,2162559,NULL,2666585,2666585,NULL,1234675,1234675,NULL,707425,707425,NULL,NULL,NULL,305027,NULL,305027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1336820,51597219,52934039
San Diego,1489,2020,NULL,400041360,400041360,NULL,9980259,9980259,NULL,154768615,154768615,14524700,14524700,NULL,NULL,NULL,462175,462175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40912593,40912593,NULL,1517638,1517638,NULL,329980633,329980633,NULL,NULL,NULL,NULL,NULL,181180553,181180553,NULL,157052846,157052846,NULL,33966755,33966755,NULL,10079219,10079219,NULL,NULL,NULL,4597954,44913202,49511156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19122654,1364855848,1383978502
San Dimas,1490,2020,NULL,4360890,4360890,NULL,NULL,NULL,NULL,3960488,3960488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,507059,507059,NULL,NULL,NULL,NULL,79855,79855,NULL,69372,69372,NULL,6505184,6505184,1086631,1086631,1043578,1043578,NULL,1354045,1354045,NULL,2335254,2335254,NULL,580628,580628,NULL,159016,159016,NULL,NULL,NULL,NULL,22449,22449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2130209,19934240,22064449
San Fernando,1491,2020,NULL,1916475,1916475,NULL,NULL,NULL,NULL,2601055,2601055,3062941,3062941,NULL,NULL,NULL,-6036,-6036,NULL,NULL,NULL,NULL,115268,115268,NULL,640077,640077,NULL,NULL,NULL,NULL,1365641,1365641,NULL,28248,28248,333499,8123757,8457256,476955,476955,691937,691937,NULL,NULL,NULL,NULL,710629,710629,57255,1525130,1582385,NULL,65455,65455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,490322,490322,NULL,NULL,NULL,NULL,NULL,43375,43375,4622587,17619396,22241983
San Francisco,1492,2020,NULL,1571935231,1571935231,NULL,40044955,40044955,NULL,296423717,296423717,323752892,323752892,5931251,5931251,-1391178,-8352265,-9743443,7131325,42816153,49947478,NULL,41615691,41615691,NULL,85726902,85726902,NULL,NULL,NULL,NULL,238502190,238502190,351300,10447968,10799268,NULL,279452320,279452320,NULL,NULL,363779,363779,NULL,280969933,280969933,NULL,17618462,17618462,NULL,578249524,578249524,NULL,334535198,334535198,NULL,94230741,94230741,NULL,NULL,NULL,NULL,2730302,2730302,69461066,69461066,255681679,255681679,NULL,68132976,68132976,405600435,4230761677,4636362112
San Gabriel,1493,2020,NULL,6081980,6081980,NULL,NULL,NULL,NULL,5315271,5315271,8253153,8253153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3917976,3917976,2578157,2578157,NULL,NULL,NULL,2249911,2249911,NULL,588704,588704,NULL,646849,646849,NULL,135861,135861,NULL,4016337,4016337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10831310,22952889,33784199
San Jacinto,1494,2020,NULL,2001059,2001059,NULL,15697,15697,NULL,3898141,3898141,NULL,NULL,NULL,NULL,NULL,3764,3764,NULL,9517,9517,NULL,68454,68454,NULL,432743,432743,NULL,NULL,NULL,NULL,101749,101749,NULL,NULL,NULL,NULL,3254025,3254025,NULL,NULL,940300,940300,NULL,22975,22975,NULL,2188493,2188493,NULL,210848,210848,NULL,174913,174913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,940300,12382378,13322678
San Joaquin,1495,2020,NULL,29616,29616,NULL,30121,30121,NULL,291449,291449,NULL,NULL,NULL,NULL,NULL,159,159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,234846,234846,NULL,NULL,417427,417427,NULL,NULL,NULL,NULL,35195,35195,NULL,18183,18183,NULL,3875,3875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417427,643444,1060871
San Jose,1496,2020,NULL,227936158,227936158,NULL,6008476,6008476,NULL,110191677,110191677,48615528,48615528,NULL,NULL,NULL,310213,310213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3036686,3036686,NULL,NULL,NULL,NULL,211047604,211047604,NULL,NULL,61017505,61017505,NULL,35358414,35358414,NULL,44435817,44435817,NULL,87393760,87393760,NULL,41110811,41110811,NULL,120213177,120213177,38524308,33264768,71789076,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6989528,43150275,50139803,155146869,963457836,1118604705
San Juan Bautista,1497,2020,NULL,424540,424540,NULL,20972,20972,NULL,207460,207460,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,585502,585502,NULL,NULL,NULL,NULL,NULL,116565,116565,NULL,107929,107929,NULL,25943,25943,NULL,25656,25656,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11126,NULL,11126,11126,1514567,1525693
San Juan Capistrano,1498,2020,NULL,7284852,7284852,NULL,179203,179203,NULL,3826526,3826526,1895737,1895737,NULL,NULL,NULL,58565,58565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164638,164638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23343,23343,NULL,8437432,8437432,NULL,NULL,690950,690950,NULL,672762,672762,NULL,1862479,1862479,NULL,207350,207350,NULL,330557,330557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2586687,23047707,25634394
San Leandro,1499,2020,NULL,14109211,14109211,NULL,NULL,NULL,NULL,8558830,8558830,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3278191,3278191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191428,191428,NULL,32235957,32235957,NULL,NULL,2374615,2374615,NULL,906080,906080,NULL,5648900,5648900,NULL,7529856,7529856,NULL,3788439,3788439,NULL,10529901,10529901,1366364,NULL,1366364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171068,12068841,12239909,3912047,98845634,102757681
San Luis Obispo,1500,2020,NULL,13188944,13188944,NULL,NULL,NULL,NULL,5290215,5290215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24125439,24125439,NULL,NULL,48608,48608,NULL,6325841,6325841,NULL,1970013,1970013,NULL,2913665,2913665,NULL,NULL,NULL,NULL,5439144,5439144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48608,59253261,59301869
San Marcos,1501,2020,NULL,7268652,7268652,NULL,NULL,NULL,NULL,8833291,8833291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2495531,2495531,NULL,5364459,5364459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19295396,19295396,NULL,NULL,345101,345101,NULL,1068175,1068175,NULL,4282862,4282862,NULL,255450,255450,NULL,617469,617469,NULL,NULL,NULL,13653,NULL,13653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,443474,443474,358754,49924759,50283513
San Marino,1502,2020,NULL,16394798,16394798,NULL,NULL,NULL,NULL,1725586,1725586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,396599,396599,254225,254225,565710,565710,NULL,NULL,NULL,NULL,581382,581382,NULL,392172,392172,NULL,130654,130654,NULL,1644239,1644239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30072,30072,819935,21295502,22115437
