csvData
rank,name,pop2022,pop2010,growth,density,aland_sqmi
118,Chino Hills,79133,74799,0.0579,1771,44.6830
119,Pittsburg,79046,63264,0.2495,4481,17.6400
120,Dublin,77899,46036,0.6921,5115,15.2290
121,Apple Valley,77123,69135,0.1155,1029,74.9260
122,Rocklin,74527,56974,0.3081,3762,19.8100
123,Redlands,74052,68747,0.0772,2065,35.8580
124,Lake Elsinore,73953,51821,0.4271,1933,38.2650
125,Turlock,73578,68549,0.0734,4348,16.9230
126,Redondo Beach,72542,66748,0.0868,11704,6.1980
127,Camarillo,71849,65201,0.1020,3651,19.6800
128,Baldwin Park,71534,75390,-0.0511,10788,6.6310
129,Walnut Creek,71317,64173,0.1113,3610,19.7570
130,Yuba City,71155,64925,0.0960,4776,14.9000
131,Tulare,70795,59278,0.1943,3475,20.3710
132,Union City,70269,69516,0.0108,3622,19.4000
133,Palo Alto,69406,64403,0.0777,2910,23.8530
134,Yorba Linda,69156,64234,0.0766,3485,19.8420
135,Castro Valley,67451,61388,0.0988,4066,16.5900
136,Lodi,67190,62134,0.0814,4927,13.6380
137,Madera,67186,61416,0.0939,4114,16.3300
138,Davis,67096,65622,0.0225,6786,9.8870
139,Brentwood,66854,51481,0.2986,4499,14.8590
140,Lynwood,66763,69772,-0.0431,13794,4.8400
141,South San Francisco,66599,63632,0.0466,7219,9.2260
142,Laguna Niguel,64631,62979,0.0262,4384,14.7410
143,San Clemente,64447,63522,0.0146,3511,18.3540
144,Porterville,64315,54165,0.1874,3456,18.6090
145,La Habra,63669,60239,0.0569,8658,7.3540
146,Santa Cruz,63558,59946,0.0603,4989,12.7400
147,Montebello,62668,62500,0.0027,7521,8.3320
148,Encinitas,62505,59518,0.0502,3280,19.0540
149,Woodland,62144,55468,0.1204,4060,15.3070
150,San Rafael,61983,57713,0.0740,3741,16.5680
151,La Mesa,61933,57065,0.0853,6810,9.0950
152,Pico Rivera,61918,62942,-0.0163,7464,8.2950
153,Florence-Graham,61703,63387,-0.0266,17584,3.5090
154,Gilroy,61660,48821,0.2630,3729,16.5370
155,Gardena,61467,58829,0.0448,10545,5.8290
156,Santee,61361,53413,0.1488,3710,16.5390
157,Monterey Park,61262,60269,0.0165,7984,7.6730
158,Cupertino,60797,58302,0.0428,5375,11.3110
159,Petaluma,60144,57941,0.0380,4172,14.4150
160,Hanford,58794,53967,0.0894,3379,17.4000
161,Highland,57779,53104,0.0880,3082,18.7480
162,Fountain Valley,57393,55313,0.0376,6327,9.0710
163,Arcadia,56745,56364,0.0068,5194,10.9250
164,Beaumont,56268,36877,0.5258,1856,30.3170
165,South Whittier,56267,57156,-0.0156,10543,5.3370
166,San Jacinto,55838,44199,0.2633,2172,25.7130
167,National City,55691,58582,-0.0493,7637,7.2920
168,Yucaipa,55178,51367,0.0742,1950,28.2930
169,Diamond Bar,54978,55544,-0.0102,3697,14.8710
170,West Sacramento,54949,48744,0.1273,2559,21.4700
171,Colton,54261,52154,0.0404,3491,15.5420
172,Huntington Park,54237,58114,-0.0667,18001,3.0130
173,Hacienda Heights,54221,54038,0.0034,4851,11.1780
174,Paramount,53661,54098,-0.0081,11347,4.7290
175,Novato,53489,51904,0.0305,1949,27.4480
176,Florin,53364,47513,0.1231,6131,8.7040
177,Glendora,53054,50073,0.0595,2719,19.5090
178,Aliso Viejo,53046,47823,0.1092,7667,6.9190
179,Watsonville,52868,51199,0.0326,7905,6.6880
180,El Dorado Hills,52235,42108,0.2405,1078,48.4600
181,Placentia,52082,50533,0.0307,7875,6.6140
182,Covina,51962,47796,0.0872,7394,7.0280
183,Palm Desert,51707,48445,0.0673,1929,26.8110
184,Cathedral City,51551,51200,0.0069,2293,22.4850
185,Lincoln,51145,42819,0.1944,2176,23.5090
186,Delano,51106,53041,-0.0365,3578,14.2850
187,Azusa,50728,46361,0.0942,5248,9.6670
188,Rosemead,50669,53764,-0.0576,9816,5.1620
189,North Highlands,50653,42694,0.1864,5748,8.8120
190,Cypress,50621,47802,0.0590,7655,6.6130
191,Ceres,50078,45417,0.1026,5353,9.3560
192,Cerritos,49686,49041,0.0132,5697,8.7220
193,Antelope,49325,45770,0.0777,7215,6.8360
194,Poway,49047,47811,0.0259,1255,39.0790
195,Brea,48933,39282,0.2457,4025,12.1580
196,Newark,48521,42573,0.1397,3497,13.8750
197,Rowland Heights,48079,48993,-0.0187,3677,13.0750
198,Rancho Santa Margarita,47969,47853,0.0024,3720,12.8950
199,La Mirada,47904,48527,-0.0128,6124,7.8220
200,Vineyard,47755,24836,0.9228,2776,17.2030
201,San Luis Obispo,47451,45119,0.0517,3561,13.3270
202,Los Banos,47444,35972,0.3189,4748,9.9930
203,Morgan Hill,47003,37882,0.2408,3617,12.9960
204,Rohnert Park,45074,40971,0.1001,6436,7.0030
205,Oakley,44941,35432,0.2684,2833,15.8630
206,Campbell,44881,39349,0.1406,7389,6.0740
207,Lompoc,44846,42434,0.0568,3858,11.6230
208,El Centro,44666,42598,0.0485,3881,11.5090
209,Palm Springs,44579,44552,0.0006,472,94.5450
210,San Bruno,44466,41114,0.0815,8123,5.4740
211,Danville,43890,42039,0.0440,2428,18.0770
212,Hollister,43028,34928,0.2319,5856,7.3480
213,Altadena,42860,42777,0.0019,5063,8.4660
214,Rancho Palos Verdes,42415,41643,0.0185,3148,13.4720
215,Coachella,42189,40704,0.0365,1403,30.0760
216,Culver City,41159,38883,0.0585,8053,5.1110
217,San Gabriel,39538,39718,-0.0045,9539,4.1450
218,Adelanto,39302,31765,0.2373,743,52.9050
219,Bell Gardens,38987,42072,-0.0733,15855,2.4590
220,Pacifica,38922,37234,0.0453,3074,12.6620
221,Calexico,38645,38572,0.0019,4484,8.6190
222,Monrovia,38199,36590,0.0440,2802,13.6340
223,Montclair,38105,36664,0.0393,6909,5.5150
224,Stanton,37918,38186,-0.0070,12243,3.0970
225,Wildomar,37815,32176,0.1753,1596,23.6880
226,Claremont,37734,34926,0.0804,2826,13.3520
227,French Valley,37722,23067,0.6353,3469,10.8730
228,La Puente,37712,39816,-0.0528,10840,3.4790
229,Martinez,37579,35824,0.0490,2975,12.6310
230,La Quinta,37576,37467,0.0029,1066,35.2590
231,Oildale,36825,32684,0.1267,5637,6.5330
232,Temple City,36682,35558,0.0316,9161,4.0040
233,Moorpark,36656,34421,0.0649,2914,12.5800
234,Foothill Farms,36376,33121,0.0983,8665,4.1980
235,West Hollywood,36029,34399,0.0474,19083,1.8880
236,Orangevale,35891,33960,0.0569,3130,11.4670
237,Manhattan Beach,35580,35135,0.0127,9037,3.9370
238,San Juan Capistrano,35316,34593,0.0209,2447,14.4310
239,San Dimas,35234,33371,0.0558,2343,15.0380
240,La Presa,35205,34169,0.0303,6403,5.4980
241,Pleasant Hill,34905,33152,0.0529,4934,7.0740
242,Foster City,34453,30567,0.1271,9076,3.7960
243,Los Gatos,34353,29413,0.1680,3016,11.3910
244,Westmont,34325,31853,0.0776,18574,1.8480
245,Menlo Park,34130,32026,0.0657,3409,10.0120
246,Desert Hot Springs,33826,25938,0.3041,1119,30.2220
247,Goleta,33250,29888,0.1125,4235,7.8510
248,Bell,33175,35477,-0.0649,13270,2.5000
249,Dana Point,33059,33351,-0.0088,5098,6.4850
250,Fair Oaks,32834,30912,0.0622,3022,10.8640
